,pergunta,resposta,tipo,vaga,empresa
328,qual sua pretensão para atuar no modelo pj? (12 nfs),5000,text,Desenvolvedor Full Stack,Smart Sk
329,há quantos anos você já usa react no trabalho?,3,text,Desenvolvedor(a) Full Stack Pleno/Sênior – Spring Boot e React,ION Sistema
330,há quantos anos você já usa spring boot no trabalho?,3,text,Desenvolvedor(a) Full Stack Pleno/Sênior – Spring Boot e React,ION Sistema
331,qual a sua pretensão salarial? (contratação clt),5000,text,Desenvolvedor(a) Full Stack Pleno/Sênior – Spring Boot e React,ION Sistema
332,direct-salary:qual a sua pretensão salarial? (contratação clt),5000,text-or-textarea,Desenvolvedor(a) Full Stack Pleno/Sênior – Spring Boot e React,ION Sistema
334,há quantos anos você já usa sql no trabalho?,3,text,Software Engineer Full Stack Pleno (Foco Front-end),tmdigital.a
335,há quantos anos você já usa desenvolvimento web no trabalho?,3,text,Software Engineer Full Stack Pleno (Foco Front-end),tmdigital.a
336,há quantos anos você já usa programação (computação) no trabalho?,3,text,Software Engineer Full Stack Pleno (Foco Front-end),tmdigital.a
339,"What is your level of proficiency in Portuguese? [  ""Select an option"", ""None"", ...",Professional,select,RPA Developer,knowmad mood Portuga
340,how many years of work experience do you have with uipath?,3,text,RPA Developer,knowmad mood Portuga
341,"Are you legally authorized to work in Brazil? [  ""Yes""<Yes>, ""No""<No>, ]",Yes,radio,RPA Developer,knowmad mood Portuga
342,how many years of work experience do you have with robotic process automation (r...,2,text,RPA Developer,knowmad mood Portuga
343,"What is your level of proficiency in Portuguese? [  ""Select an option"", ""None"", ...",Yes,select,RPA Developer,knowmad mood Portuga
345,Essa vaga é 100% presencial no Centro do Rio de Janeiro. Tem disponibilidade e c...,Yes,select,Engenheiro eletrônico - Raspberry Pi,K2 Solution
346,qual sua pretensão salarial?,5000,text,Engenheiro eletrônico - Raspberry Pi,K2 Solution
347,direct-salary:qual sua pretensão salarial?,5000,text-or-textarea,Engenheiro eletrônico - Raspberry Pi,K2 Solution
348,Você já desenvolveu sistemas embarcados utilizando Raspberry Pi ou NVIDIA Jetson...,Yes,select,Engenheiro eletrônico - Raspberry Pi,K2 Solution
349,"Já trabalhou com protocolos de comunicação como I2C, SPI, UART ou CAN em projeto...",Yes,select,Engenheiro eletrônico - Raspberry Pi,K2 Solution
351,"Já trabalhou com protocolos de comunicação como I2C, SPI, UART ou CAN em projeto...",No,select,Engenheiro eletrônico - Raspberry Pi,K2 Solution
352,Possui experiência em programação com Python aplicada a hardware ou automação? [...,Yes,select,Engenheiro eletrônico - Raspberry Pi,K2 Solution
355,quanto tempo de experiência você tem trabalhando com as seguintes linguagens: la...,3,text,Engenheiro de controle,Woodgrove Technologies Inc
356,"quanto tempo de experiência, em anos, você tem utilizando os sistemas: plcs, sca...",3,text,Engenheiro de controle,Woodgrove Technologies Inc
357,"Disponibilidade para viajar a trabalho, inclusive para o exterior? [  ""Seleciona...",Yes,select,Engenheiro de controle,Woodgrove Technologies Inc
358,"Qual seu nível de proficiência em Inglês? [  ""Selecionar opção"", ""Nenhuma"", ""Con...",Yes,select,Engenheiro de controle,Woodgrove Technologies Inc
359,"Você completou o curso Bacharelado? [  ""Sim""<Yes>, ""Não""<No>, ]","""Sim""<Yes>",radio,Engenheiro de controle,Woodgrove Technologies Inc
363,"Você trabalharia em um modelo híbrido? [  ""Sim""<Yes>, ""Não""<No>, ]","""Sim""<Yes>",radio,Engenheiro de controle,Woodgrove Technologies Inc
364,"Possui inglês fluente? [  ""Selecionar opção"", ""Yes"", ""No"", ]",Yes,select,Quality Automation Engineer,ART IT Intelligent Technolog
365,"Possui inglês fluente? [  ""Selecionar opção"", ""Yes"", ""No"", ]",No,select,Quality Automation Engineer,ART IT Intelligent Technolog
366,"Possui disponibilidade para atuar em Portugal? [  ""Selecionar opção"", ""Yes"", ""No...",Yes,select,Quality Automation Engineer,ART IT Intelligent Technolog
368,telefone,21980292791,text,Programador C em Linux – Sistema SAS (Slot Accounting System),Spin Code
369,"E-mail [  ""Selecionar opção"", ""leonardorfragoso@gmail.com"", ]",Yes,select,Programador C em Linux – Sistema SAS (Slot Accounting System),Spin Code
370,"Código do país [  ""Selecionar opção"", ""Brasil (+55)"", ""Afeganistão (+93)"", ""Albâ...",Yes,select,Programador C em Linux – Sistema SAS (Slot Accounting System),Spin Code
371,telefone,21980292791,text,Software Developer Pleno,Void
372,"E-mail [  ""Selecionar opção"", ""leonardorfragoso@gmail.com"", ]",Yes,select,Software Developer Pleno,Void
373,"Código do país [  ""Selecionar opção"", ""Brasil (+55)"", ""Afeganistão (+93)"", ""Albâ...",Yes,select,Software Developer Pleno,Void
374,"Você trabalharia presencialmente? [  ""Sim""<Yes>, ""Não""<No>, ]","""Sim""<Yes>",radio,Desenvolvedor Full-Stack (Presencial),NineTwo Performanc
375,"Trabalha bem em equipe e tem produtividade alta? [  ""Selecionar opção"", ""Yes"", ""...",Yes,select,"Desenvolvedor(a) Fullstack Node + React (PJ, Presencial)",Clinfec - Clínica de Infectologia e Centro de Infusã
376,"Tem disponibilidade para vaga 100% presencial em Águas Claras? [  ""Selecionar op...",Yes,select,"Desenvolvedor(a) Fullstack Node + React (PJ, Presencial)",Clinfec - Clínica de Infectologia e Centro de Infusã
378,"quantos anos de experiência como desenvolvedor fullstack com react.js, node.js?",3,text,"Desenvolvedor(a) Fullstack Node + React (PJ, Presencial)",Clinfec - Clínica de Infectologia e Centro de Infusã
379,"Tem experiência sólida com React.js, node.js? [  ""Selecionar opção"", ""Yes"", ""No""...",Yes,select,"Desenvolvedor(a) Fullstack Node + React (PJ, Presencial)",Clinfec - Clínica de Infectologia e Centro de Infusã
383,direct-salary:qual sua pretensão salarial de acordo com o modelo clt?,5000,text-or-textarea,Backend Developer (JAVA) #986218,Dexian Brasi
384,há quantos anos você já usa java no trabalho?,0,text,Backend Developer (JAVA) #986218,Dexian Brasi
385,qual sua pretensão salarial de acordo com o modelo clt?,5000,text,Backend Developer (JAVA) #986218,Dexian Brasi
386,"Possui inglês fluente? [  ""Selecionar opção"", ""Yes"", ""No"", ]",Yes,select,Backend Developer (JAVA) #986218,Dexian Brasi
388,há quantos anos você já usa spring framework no trabalho?,3,text,Desenvolvedor Java Junior,Pasquali Solutio
389,há quantos anos você já usa git no trabalho?,3,text,Desenvolvedor Java Junior,Pasquali Solutio
390,há quantos anos você já usa java no trabalho?,0,text,Desenvolvedor Java Junior,Pasquali Solutio
393,"Você possui uma das certificações mencionadas na descrição da vaga? [  ""Selecion...",Yes,select,Desenvolvedor full stack,Stefanini Brasi
394,Nosso budget para essa oportunidade gira em torno de 10K + benefícios. Vaga CLT....,No,select,Desenvolvedor full stack,Stefanini Brasi
395,"Você concorda em fazer uma verificação de antecedentes, de acordo com a legislaç...","""Sim""<Yes>",radio,Desenvolvedor full stack,Stefanini Brasi
396,há quantos anos você já usa java no trabalho?,0,text,Desenvolvedor full stack,Stefanini Brasi
397,por favor nos informe seu cpf:,3,text,Desenvolvedor full stack,Stefanini Brasi
399,há quantos anos você já usa banco de dados oracle no trabalho?,3,text,Desenvolvedor full stack,Stefanini Brasi
400,há quantos anos você já usa angular (framework) no trabalho?,1,text,Desenvolvedor full stack,Stefanini Brasi
401,Nosso budget para essa oportunidade gira em torno de 10K + benefícios. Vaga CLT....,Yes,select,Desenvolvedor full stack,Stefanini Brasi
403,"Você completou o curso Bacharelado? [  ""Sim""<Yes>, ""Não""<No>, ]","""Sim""<Yes>",radio,Desenvolvedor full stack,Stefanini Brasi
404,há quantos anos você já usa c# no trabalho?,1,text,Desenvolvedor Pleno (Node.js/C#),Kaffa Tec
405,qual a sua pretensão salarial para contratação clt?,5000,text,Desenvolvedor Pleno (Node.js/C#),Kaffa Tec
406,"Você trabalharia em um modelo híbrido em Campinas?  [  ""Selecionar opção"", ""Yes""...",Yes,select,Desenvolvedor Pleno (Node.js/C#),Kaffa Tec
407,direct-salary:qual a sua pretensão salarial para contratação clt?,5000,text-or-textarea,Desenvolvedor Pleno (Node.js/C#),Kaffa Tec
408,há quantos anos você já usa node.js no trabalho?,1,text,Desenvolvedor Pleno (Node.js/C#),Kaffa Tec
409,"Você trabalharia em um modelo híbrido em Campinas?  [  ""Selecionar opção"", ""Yes""...",No,select,Desenvolvedor Pleno (Node.js/C#),Kaffa Tec
410,"E-mail [  ""Select an option"", ""leonardorfragoso@gmail.com"", ]",Yes,select,Junior Java Developer - Remote,INDI Staffing Service
411,telefone,21980292791,text,Junior Java Developer - Remote,INDI Staffing Service
412,"Phone country code [ ""List of phone country codes"" ]",Yes,select,Junior Java Developer - Remote,INDI Staffing Service
413,direct-salary:qual a sua pretensão salarial pj?,7000,text-or-textarea,Desenvolvedor Java,TIMWETEC
414,há quantos anos você já usa spring boot no trabalho?,3,text,Desenvolvedor Java,TIMWETEC
415,"Você já possui empresa PJ aberta? [  ""Selecionar opção"", ""Yes"", ""No"", ]",Yes,select,Desenvolvedor Java,TIMWETEC
416,"Tem vivência em sistemas de missão crítica?  [  ""Selecionar opção"", ""Yes"", ""No"",...",Yes,select,Desenvolvedor Java,TIMWETEC
418,há quantos anos você já usa banco de dados oracle no trabalho?,3,text,Desenvolvedor Java,TIMWETEC
419,"Tem disponibilidade dedicada? [  ""Selecionar opção"", ""Yes"", ""No"", ]",Yes,select,Desenvolvedor Java,TIMWETEC
420,qual a sua pretensão salarial pj?,7000,text,Desenvolvedor Java,TIMWETEC
422,"Disponível para realizar um teste técnico de live coding?  [  ""Selecionar opção""...",Yes,select,Desenvolvedor Java,TIMWETEC
425,há quantos anos você já usa python no trabalho?,3,text,Senior Backend Developer,Mouts T
426,"Já utilizou ferramentas de orquestração como N8N, CrewAI ou LangChain? [  ""Selec...",Yes,select,Senior Backend Developer,Mouts T
427,qual a sua expectativa salarial? considerando modelo pj,7000,text,Senior Backend Developer,Mouts T
428,"Já utilizou ferramentas de orquestração como N8N, CrewAI ou LangChain? [  ""Selec...",No,select,Senior Backend Developer,Mouts T
429,"Tem experiência em integrar IA generativa (OpenAI APIs, CrewAI, etc.) em aplicaç...",Yes,select,Senior Backend Developer,Mouts T
432,qual sua pretensão salarial clt?,5000,text,Desenvolvedor Java/Groovy Pleno,Empresa Confidencia
433,"Você possui experiência com Java 17/21 em ambientes críticos? [  ""Selecionar opç...",Yes,select,Desenvolvedor Java/Groovy Pleno,Empresa Confidencia
435,há quantos anos você já usa java no trabalho?,0,text,Desenvolvedor Java/Groovy Pleno,Empresa Confidencia
436,direct-salary:qual sua pretensão salarial clt?,5000,text-or-textarea,Desenvolvedor Java/Groovy Pleno,Empresa Confidencia
437,"Possui experiência com Groovy On Grails? [  ""Selecionar opção"", ""Yes"", ""No"", ]",Yes,select,Desenvolvedor Java/Groovy Pleno,Empresa Confidencia
439,"E-mail [  ""Select an option"", ""leonardorfragoso@gmail.com"", ]",Yes,select,Junior Node Developer - Remote,INDI Staffing Service
440,telefone,21980292791,text,Junior Node Developer - Remote,INDI Staffing Service
441,"Phone country code [ ""List of phone country codes"" ]",Yes,select,Junior Node Developer - Remote,INDI Staffing Service
442,"Are you comfortable working in a remote setting? [  ""Yes""<Yes>, ""No""<No>, ]","""Yes""<Yes>",radio,Full-Stack Developer (React Native + Python / FastAPI / AWS),Philcoi
443,"What is your level of proficiency in English? [  ""Select an option"", ""None"", ""Co...",Yes,select,Full-Stack Developer (React Native + Python / FastAPI / AWS),Philcoi
444,"We must fill this position urgently. Can you start immediately? [  ""Yes""<Yes>, ""...","""Yes""<Yes>",radio,Full-Stack Developer (React Native + Python / FastAPI / AWS),Philcoi
445,"E-mail [  ""Select an option"", ""leonardorfragoso@gmail.com"", ]",Yes,select,Desenvolvedor Full Stack Node e React,GYRA
446,telefone,21980292791,text,Desenvolvedor Full Stack Node e React,GYRA
447,"Phone country code [ ""List of phone country codes"" ]",Yes,select,Desenvolvedor Full Stack Node e React,GYRA
448,"Você possui experiência com Cloud Azure?  [  ""Selecionar opção"", ""Yes"", ""No"", ]",Yes,select,Desenvolvedor(a) Back-end (Java/Node.js) SR,V8.TEC
450,há quantos anos você já usa java no trabalho?,0,text,Desenvolvedor(a) Back-end (Java/Node.js) SR,V8.TEC
451,há quantos anos você já usa banco de dados sql no trabalho?,3,text,Desenvolvedor(a) Back-end (Java/Node.js) SR,V8.TEC
452,há quantos anos você já usa node.js no trabalho?,1,text,Desenvolvedor(a) Back-end (Java/Node.js) SR,V8.TEC
453,quanto tempo de experiência você possui em desenvolvimento react?,3,text,SR Desenvolvedor full stack (Node + React),íli
454,qual sua pretensão salarial para uma oportunidade clt?,5000,text,SR Desenvolvedor full stack (Node + React),íli
456,"Sua pretensão salarial é negociável? [  ""Selecionar opção"", ""Yes"", ""No"", ]",No,select,SR Desenvolvedor full stack (Node + React),íli
457,quanto tempo de experiência você possui em desenvolvimento node?,3,text,SR Desenvolvedor full stack (Node + React),íli
458,"Você possui fluência em inglês para conversação? [  ""Selecionar opção"", ""Yes"", ""...",Yes,select,SR Desenvolvedor full stack (Node + React),íli
459,"Você possui fluência em inglês para conversação? [  ""Selecionar opção"", ""Yes"", ""...",No,select,SR Desenvolvedor full stack (Node + React),íli
460,"Sua pretensão salarial é negociável? [  ""Selecionar opção"", ""Yes"", ""No"", ]",Yes,select,SR Desenvolvedor full stack (Node + React),íli
462,direct-salary:qual sua pretensão salarial para uma oportunidade clt?,5000,text-or-textarea,SR Desenvolvedor full stack (Node + React),íli
463,telefone,21980292791,text,Desenvolvedor Fullstack (Node.js + React Native),Dexian Brasi
464,"E-mail [  ""Selecionar opção"", ""leonardorfragoso@gmail.com"", ]",Yes,select,Desenvolvedor Fullstack (Node.js + React Native),Dexian Brasi
465,"Código do país [  ""Selecionar opção"", ""Brasil (+55)"", ""Afeganistão (+93)"", ""Albâ...",Yes,select,Desenvolvedor Fullstack (Node.js + React Native),Dexian Brasi
466,telefone,21980292791,text,Desenvolvedor(a) Back-End com experiência em Node.js e Nest.js,Starsof
467,"E-mail [  ""Selecionar opção"", ""leonardorfragoso@gmail.com"", ]",Yes,select,Desenvolvedor(a) Back-End com experiência em Node.js e Nest.js,Starsof
468,"Código do país [  ""Selecionar opção"", ""Brasil (+55)"", ""Afeganistão (+93)"", ""Albâ...",Yes,select,Desenvolvedor(a) Back-End com experiência em Node.js e Nest.js,Starsof
469,"Código do país [  ""Selecionar opção"", ""Brasil (+55)"", ""Afeganistão (+93)"", ""Albâ...",Yes,select,Desenvolvedor Full Stack,GMX SOLUCOES INDUSTRIAIS LTD
470,"E-mail [  ""Selecionar opção"", ""leonardorfragoso@gmail.com"", ]",Yes,select,Desenvolvedor Full Stack,GMX SOLUCOES INDUSTRIAIS LTD
471,telefone,21980292791,text,Desenvolvedor Full Stack,GMX SOLUCOES INDUSTRIAIS LTD
472,há quantos anos você já usa desenvolvimento java no trabalho?,3,text,"""Desenvolvedor Java Pleno#987541""",Dexian Brasi
474,"Você trabalharia em um modelo híbrido? [  ""Sim""<Yes>, ""Não""<No>, ]","""Sim""<Yes>",radio,"""Desenvolvedor Java Pleno#987541""",Dexian Brasi
475,há quantos anos você já usa javascript puro no trabalho?,3,text,Desenvolvedor(a) JavaScript (Vanilla JS),Plus-IT Tec
477,remuneração atual:,5000,text,Desenvolvedor com foco em automações de processos e IA,Grupo NTSe
478,direct-salary:remuneração pretendida:,5000,text-or-textarea,Desenvolvedor com foco em automações de processos e IA,Grupo NTSe
479,"Possui experiência com N8N? [  ""Selecionar opção"", ""Yes"", ""No"", ]",Yes,select,Desenvolvedor com foco em automações de processos e IA,Grupo NTSe
480,remuneração pretendida:,5000,text,Desenvolvedor com foco em automações de processos e IA,Grupo NTSe
482,direct-salary:remuneração atual:,5000,text-or-textarea,Desenvolvedor com foco em automações de processos e IA,Grupo NTSe
